,baindi,bacode,baname,baid,usfirm
0,B,1,,A.L.O.  ,1
1,B,1,ABACO CASA DE BOLSA                     ,ABACO   ,0
2,A,1,FITZGERALD         J                    ,,1
3,A,1,FITZGERALD         J                    ,,0
4,B,2,ALGEMENE BANK OF THE NETHERLANDS        ,ABN     ,1
5,B,2,ALGEMENE BANK OF THE NETHERLANDS        ,ABN     ,0
6,A,2,KRUEGER                                 ,,1
7,A,2,KRUEGER                                 ,,0
8,B,3,"ADAMS HARKNESS, INC.                    ",ADAMS   ,1
9,B,3,"ADAMS HARKNESS, INC.                    ",ADAMS   ,0
10,A,3,DUBOIS             C                    ,,1
11,A,3,DUBOIS             C                    ,,0
12,B,4,ADVEST INC.                             ,ADVEST  ,1
13,B,4,ADVEST INC.                             ,ADVEST  ,0
14,A,4,CUMMING            V                    ,,1
15,A,4,CUMMING            V                    ,,0
16,B,5,AFFARSVARLDEN                           ,AFV     ,1
17,B,5,AFFARSVARLDEN                           ,AFV     ,0
18,A,5,MCALINDEN          J                    ,,1
19,A,5,MCALINDEN          J                    ,,0
20,B,6,,ALBERTIN,1
21,B,6,,ALBERTIN,0
22,A,6,CLIENT HOLDINGS                         ,,1
23,A,6,CLIENT HOLDINGS                         ,,0
24,B,7,BANCA ALETTI & C. SPA                   ,ALETTI  ,0
25,B,7,DEUTSCHE BANK ALEX BROWN-US             ,ALEX    ,1
26,A,7,GOODMAN            P                    ,,1
27,A,7,GOODMAN            P                    ,,0
28,B,8,ALLIANCE CAPITAL MANAGEMENT             ,ALLIANCE,1
29,B,8,DEUTSCHE BANK ALEX BROWN-US             ,ALEX    ,0
30,A,8,GILLARD            W                    ,,1
31,A,8,GILLARD            W                    ,,0
32,B,9,,AMBROSIA,1
33,A,9,DOERFLINGER                             ,,1
34,A,9,DOERFLINGER                             ,,0
35,B,10,,AMBROSIA,0
36,B,10,,ANANTHA ,1
37,B,11,ABN AMRO                                ,AMRO    ,0
38,B,11,ARGUS RESEARCH CORP.                    ,ARGUS   ,1
39,A,11,F. DESCENZA        D                    ,,1
40,A,11,F. DESCENZA        D                    ,,0
41,B,12,NORDEA SECURITIES                       ,AROS    ,1
42,A,12,ROMM               M                    ,,1
43,A,12,ROMM               M                    ,,0
44,B,13,,ATLANCAP,1
45,B,13,ARGUS RESEARCH CORP.                    ,ARGUS   ,0
46,A,13,GOLDMAN            E                    ,,1
47,A,13,GOLDMAN            E                    ,,0
48,B,14,ATLANFIN                                ,ATLANFIN,1
49,A,14,CORNWELL           R                    ,,1
50,A,14,CORNWELL           R                    ,,0
51,B,14,NORDEA SECURITIES                       ,AROS    ,0
52,B,15,ATLANFIN                                ,ATLANFIN,0
53,B,15,ATLANTIS INVESTMENT CO.                 ,ATLANTIS,1
54,A,15,THOMPSON           A                    ,,1
55,A,15,THOMPSON           A                    ,,0
56,A,16,BERNSTEIN          F                    ,,1
57,A,16,BERNSTEIN          F                    ,,0
