,Unnamed: 0,Company_name,Date,Analyst,Analyst_bank,Question,Executive_Name,Executive_position,Answer,Analytics_order,Analytics_question_order,Exec_answer_order
4621,0,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Fei Fang , Goldman Sachs,"Hi, Jane, Jenny. Thanks for taking my question. So first question is on air ticketing rebate, can you let us know the rationale behind launching the program as well as how much resources future plans to allocate to this? Thank you.",Jane Sun, COO,"Sure. The reason for us to launch the air ticketing rebate is mainly due to a few reasons. First of all, externally we have seen the industry and the market has grown very rapidly, and yet Ctrip's market share is very small. So in this fast-growing market, Ctrip is very determined to extend our leadership through different strategies, including our pricing strategy, product strategy, IT strategy. So this cash rebate is one of the measures we have to take in order to rapidly grow our market share.",1.0,1.0,1.0
4622,1,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Fei Fang , Goldman Sachs,"Okay, understood. So in terms of resources, is there any guidance or visibility on how much Ctrip could potentially allocate to this?",Jane Sun, COO,"Sure. I think the guidance that we gave for the first quarter has already taken into consideration of the impact of the cash rebate for the first quarter. As we move forward into Q2 and beyond, we'll be able to give you a more detailed guidance going forward as we have more visibility. But whatever it takes for us to gain market share, we'll do it. But meanwhile, I think since we already gained quite a lot of experience last year through the coupon program for hotel, I think we will study each line very carefully to make sure every dollar we spend will generate the best return for our company and for our shareholders.",1.0,2.0,1.0
4623,2,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Fei Fang , Goldman Sachs,"Understood. Last question, can management discuss your mobile strategy for 2013, meaning how should we model the cost and benefit of your mobile investment and how do you think the competition will evolve on mobile devices? Thank you.",Min Fan, President and CEO,"Yeah. I think for Ctrip's mobile platform, last year we released mobile, a kind of mobile one-stop platform. That means we have a serious mobile app. But our main operational mobile app, we have more than 20 million downloads; that means we are a leader in this field. And I think right now the mobile OD transaction generated from the mobile apps, we’re satisfied for the outcome of this mobile strategy, Ctrip platform. And I think we will continue to give high priority in the development of mobile apps as well as building the backend supporting system to ensure the seamless booking experience. And I think right now we, in the market, Ctrip mobile app is one of the hot apps used by customers in the market, and our [best] app won 2012, the award for innovative service apps in China internet industry summit. So in this year we will continue to invest more in this field and we will try to grab more and more market share.",1.0,3.0,1.0
4624,3,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Andy Yeung , Oppenheimer,"Hi, good morning. Thank you for taking my questions. My question is also a follow-up question on the air ticketing promotion. When you look at the competitive landscape over the last couple of quarters, is there anything that changed that we -- made you decide that you really need to do the coupon promotions for air ticketing?",Jane Sun, COO,"Our marketing strategy is very carefully thought of and it's evolving everyday based on the market condition. And we believe that the market is growing so rapidly that for Ctrip who has a very small market share at this moment, the cash rebate program is one of the measures we have to take to close the gap on the pricing and to extend our leadership into the market. So it's evolving process.",2.0,1.0,1.0
4625,4,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Andy Yeung , Oppenheimer,"I see. And is the rebate program directly related to the rebate coupon, can be used for air ticket or can be also used for hotel? Because when we look at your commission rate for air ticketing and for hotel, there's a significant difference between what you get in commissions for air ticket and hotel. So there seems to be less room for coupon rebate in the air ticketing program. Can you elaborate on that a little bit? Yeah.",Jane Sun, COO,"Sure, sure. I think the reason we launched the coupon is because Ctrip has a comprehensive product offering, so we can offer more choices through this coupon program. So we definitely opt for cross-selling across the borderline and we've designed the program so that every dollar we spent for the coupon program will generate the best return overall for our business portfolio.",2.0,2.0,1.0
4626,5,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Andy Yeung , Oppenheimer,"Okay, got it. And if I can, just one housekeeping question. There's a significant increase in the other income line, can you give us some idea if that's government related subsidies?",Jenny Wu, Deputy CFO,"Sure. Below the operating income, there's two major factors to increase net income. One is the other income, which is primarily the government subsidy, and in 4Q we received quite a lot, but usually the timing and the amount that we can get will depend on the government decision which is beyond our control. And the second part is the non-controlling interest. And recall, we made a lot of investments in recent years, some of them they are still at loss-making stage. And in 4Q we, probably you heard from news, we completed the second financing for one of our subsidiaries, and as a result, we will share -- we will attribute part of this loss to minority stakeholders. And that's why it impacted our net income.",2.0,3.0,1.0
4627,6,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Richard Ji , Morgan Stanley,"Hi, Min, James, Jane and Jenny. Good morning and congrats on the strong -- morning, hi. Congrats on the strong top line growth. I have two -- yeah. I have two questions. First of all, given you have been several quarters into the coupon promotion program for the hotel booking business and we are obviously seeing very strong recovery or rebound in the hotel booking volume, can you comment on the margin trend in the hotel booking business? Are we seeing margin stabilization for the time being?",Jane Sun, COO,"Thanks, Richard. Yes, we do see stabilization in margin trend. So for hotel, I think we also monitor the market development very carefully to make sure our pricing stays strong compared to all the other players in the market.",3.0,1.0,1.0
4628,7,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Richard Ji , Morgan Stanley,"Okay, yeah. Thanks. And secondly, your package tour business has been one of the bright spots of -- for your growth. And should we be worried about, you know, your all-out price war into the package tour business? And also, can you give us a little more color on the split between domestic package tour versus overseas portion? Yeah.",Jane Sun, COO,"Sure. The sales for package tour is not going to be materially impact our business because relative to the other business line, package tour still is very small and there are very few players in the market who offer similar products with Ctrip. So the impact is not material. Secondly, domestic versus overseas, in terms of volume it's about 60% overseas. In terms of revenue, it can crawl -- become about 60% to 70% of the total package tour. So overseas definitely grows very fast.",3.0,2.0,1.0
4629,8,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Jiong Shao , Macquarie Securities,"Good morning. Thank you very much for taking my questions. I have two as well. The first question is on your guidance. In the past you have given out the segments guidance in terms of the revenues. I was hoping you can do the same for Q1. And also, could you talk about your guidance for the operating margin? I think Jane mentioned stabilization for the operating margins for Q1; I was wondering, do you have a specific range? That's my first question. Thank you.",Jenny Wu, Deputy CFO,"Okay, sure. For the hotel, for 1Q, the volume may grow 25% to 35%. The price, the ADR for hotels may decline 5% year on year, which is mainly due to our further penetration into lower-star hotels and lower-tier cities. For the commission, nominal commission rate, will -- largely flattish. And the e-coupon impact will be around 10% to 15%. So revenue will grow about 10% to 15%. For air ticketing, volume growth will be 15% to 20%. Both the price and the commission rate will largely flattish. The revenue will grow 15% to 20%. For package tours, total revenues may grow 25% to 30%. And for the corporate travel, its growth will be largely in line with air ticketing business which is 15% to 20%. So for Ctrip totally, our top line will grow about 15% to 20%. For the operating margin, as Jane just mentioned, we'll see e-coupon on hotel business stabilize in 4Q. And for 1Q, we expect the similar situation. But 1Q is usually a weaker season, and so we usually see the slight margin decline Q-on-Q. So we will try our best to make sure 1Q's margin will be largely similar to 4Q which is 20% to 21%. That's the visibility we have so far. And I understand the people always want us to give the full year guidance, but actually when we look at the market and look at the competition situation, it's quite dynamic, and our visibility for the rest of the year is limited. So we believe it will be at the investors' best interest if we can guide the more realistic level when we've got clear pictures later on. So going forward we may guide on the [confident] basis. And for Ctrip, people usually know, we are very decisive to invest for our future. On the other hand, we also have very tight cost control, we are very disciplined. We will make sure we'll continue to do that to avoid any -- to avoid losing any pennies. So we will try our best. Thank you.",4.0,1.0,1.0
4630,9,"Ctrip.com International, Ltd. (NASDAQ:CTRP)","January 31, 2013 8:00 p.m. EST",Jiong Shao , Macquarie Securities,"Okay, great. Thank you, that's extremely helpful. Thank you. And my second question is on the competition side. I think earlier Min mentioned that one of your OTA competitor launched air ticketing coupons a couple of quarters ago, now you are on the offense also. Could you talk about the current competitive dynamic between you and your OTA competitor? And also talk about the e-commerce guys, the vertical search guys and the e-commerce platform, where you think the greatest threat to you may be. Thank you.",Min Fan, President and CEO,"Yeah. I think the competition landscape right now is there's no very big difference from last quarter. And for Ctrip, I think Ctrip is still positioned, very unique positioning in the market. I'd just say Ctrip is the only OTA that has one-stop full service for -- no matter business travelers or leisure travelers. If you compare other OTAs, probably they will just do a product line which we enjoy, and for example, eLong where the main focus is on the hotel side. So I think if you compare OTAs, Ctrip has the most comprehensive product offerings, most sophisticated operating system, and advanced IT infrastructure to service our customers. And also we have our content website and also we have our full suite of mobile apps. So I think for Ctrip, we are really a kind of one-stop solution for any leisure or business travelers, they want to find a one-stop solution, Ctrip is the best place for them to use. And if you're talking about vertical search engine, I should say vertical search engine, normally they will -- just like a platform to just exhibit various kinds of medium to small travel companies and they list their products there. The service experience is not the same and other sales probably not so guaranteed, the quality is not so guaranteed. So I think for customers, if Ctrip can provide the best price as well as other search engines or other OTAs, definitely Ctrip is the best place to shop around.",4.0,2.0,1.0
